,Area,Date,Unadjusted CPI Index
0,U.S. city average,2023-01-01,299.17
1,Region and area size(2),2023-01-01,
2,Northeast,2023-01-01,310.323
3,Northeast - Size Class A,2023-01-01,313.062
4,Northeast - Size Class B/C(3),2023-01-01,183.459
5,New England(4),2023-01-01,118.841
6,Middle Atlantic(4),2023-01-01,119.078
7,Midwest,2023-01-01,277.332
8,Midwest - Size Class A,2023-01-01,275.942
9,Midwest - Size Class B/C(3),2023-01-01,178.116
10,East North Central(4),2023-01-01,120.275
11,West North Central(4),2023-01-01,120.372
12,South,2023-01-01,290.438
13,South - Size Class A,2023-01-01,295.376
14,South - Size Class B/C(3),2023-01-01,183.679
15,South Atlantic(4),2023-01-01,123.184
16,East South Central(4),2023-01-01,119.81
17,West South Central(4),2023-01-01,120.118
18,West,2023-01-01,317.477
19,West - Size Class A,2023-01-01,327.337
20,West - Size Class B/C(3),2023-01-01,184.717
21,Mountain(4),2023-01-01,126.0
22,Pacific(4),2023-01-01,122.406
23,Size classes,2023-01-01,
24,Size Class A(5),2023-01-01,274.831
25,Size Class B/C(3),2023-01-01,182.684
26,Selected local areas,2023-01-01,
27,"Chicago-Naperville-Elgin, IL-IN-WI",2023-01-01,276.982
28,"Los Angeles-Long Beach-Anaheim, CA",2023-01-01,318.591
29,"New York-Newark-Jersey City, NY-NJ-PA",2023-01-01,318.151
30,"Atlanta-Sandy Springs-Roswell, GA",2023-01-01,
31,"Baltimore-Columbia-Towson, MD(6)",2023-01-01,
32,"Detroit-Warren-Dearborn, MI",2023-01-01,
33,"Houston-The Woodlands-Sugar Land, TX",2023-01-01,
34,"Miami-Fort Lauderdale-West Palm Beach, FL",2023-01-01,
35,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2023-01-01,
36,"Phoenix-Mesa-Scottsdale, AZ(7)",2023-01-01,
37,"San Francisco-Oakland-Hayward, CA",2023-01-01,
38,"Seattle-Tacoma-Bellevue, WA",2023-01-01,
39,"St. Louis, MO-IL",2023-01-01,
40,Urban Alaska,2023-01-01,
41,"Boston-Cambridge-Newton, MA-NH",2023-01-01,324.27
42,"Dallas-Fort Worth-Arlington, TX",2023-01-01,281.117
43,"Denver-Aurora-Lakewood, CO",2023-01-01,312.392
44,"Minneapolis-St.Paul-Bloomington, MN-WI",2023-01-01,288.761
45,"Riverside-San Bernardino-Ontario, CA(4)",2023-01-01,127.683
46,"San Diego-Carlsbad, CA",2023-01-01,354.453
