,Area,Date,Unadjusted CPI Index
0,U.S. city average,2021-01-01,261.582
1,Region and area size(2),2021-01-01,
2,Northeast,2021-01-01,275.427
3,Northeast - Size Class A,2021-01-01,279.172
4,Northeast - Size Class B/C(3),2021-01-01,161.827
5,New England(4),2021-01-01,105.658
6,Middle Atlantic(4),2021-01-01,105.606
7,Midwest,2021-01-01,242.552
8,Midwest - Size Class A,2021-01-01,242.716
9,Midwest - Size Class B/C(3),2021-01-01,155.244
10,East North Central(4),2021-01-01,105.024
11,West North Central(4),2021-01-01,105.629
12,South,2021-01-01,252.067
13,South - Size Class A,2021-01-01,256.377
14,South - Size Class B/C(3),2021-01-01,159.392
15,South Atlantic(4),2021-01-01,106.719
16,East South Central(4),2021-01-01,105.077
17,West South Central(4),2021-01-01,104.111
18,West,2021-01-01,277.238
19,West - Size Class A,2021-01-01,285.948
20,West - Size Class B/C(3),2021-01-01,161.199
21,Mountain(4),2021-01-01,107.854
22,Pacific(4),2021-01-01,107.68
23,Size classes,2021-01-01,
24,Size Class A(5),2021-01-01,241.145
25,Size Class B/C(3),2021-01-01,159.26
26,Selected local areas,2021-01-01,
27,"Chicago-Naperville-Elgin, IL-IN-WI",2021-01-01,246.008
28,"Los Angeles-Long Beach-Anaheim, CA",2021-01-01,280.178
29,"New York-Newark-Jersey City, NY-NJ-PA",2021-01-01,285.525
30,"Atlanta-Sandy Springs-Roswell, GA",2021-01-01,
31,"Baltimore-Columbia-Towson, MD(6)",2021-01-01,
32,"Detroit-Warren-Dearborn, MI",2021-01-01,
33,"Houston-The Woodlands-Sugar Land, TX",2021-01-01,
34,"Miami-Fort Lauderdale-West Palm Beach, FL",2021-01-01,
35,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2021-01-01,
36,"Phoenix-Mesa-Scottsdale, AZ(7)",2021-01-01,
37,"San Francisco-Oakland-Hayward, CA",2021-01-01,
38,"Seattle-Tacoma-Bellevue, WA",2021-01-01,
39,"St. Louis, MO-IL",2021-01-01,
40,Urban Alaska,2021-01-01,
41,"Boston-Cambridge-Newton, MA-NH",2021-01-01,286.615
42,"Dallas-Fort Worth-Arlington, TX",2021-01-01,242.513
43,"Denver-Aurora-Lakewood, CO",2021-01-01,272.156
44,"Minneapolis-St.Paul-Bloomington, MN-WI",2021-01-01,256.379
45,"Riverside-San Bernardino-Ontario, CA(4)",2021-01-01,109.55
46,"San Diego-Carlsbad, CA",2021-01-01,307.688
47,"Tampa-St. Petersburg-Clearwater, FL(8)",2021-01-01,239.135
48,Urban Hawaii,2021-01-01,287.634
49,"Washington-Arlington-Alexandria, DC-VA-MD-WV(6)",2021-01-01,270.535
50,U.S. city average,2021-02-01,263.014
51,Region and area size(2),2021-02-01,
52,Northeast,2021-02-01,276.473
53,Northeast - Size Class A,2021-02-01,280.132
54,Northeast - Size Class B/C(3),2021-02-01,162.517
55,New England(4),2021-02-01,105.962
56,Middle Atlantic(4),2021-02-01,106.044
57,Midwest,2021-02-01,244.477
58,Midwest - Size Class A,2021-02-01,244.759
59,Midwest - Size Class B/C(3),2021-02-01,156.432
60,East North Central(4),2021-02-01,105.925
61,West North Central(4),2021-02-01,106.315
62,South,2021-02-01,253.386
63,South - Size Class A,2021-02-01,257.802
64,South - Size Class B/C(3),2021-02-01,160.195
65,South Atlantic(4),2021-02-01,107.243
66,East South Central(4),2021-02-01,105.706
67,West South Central(4),2021-02-01,104.684
68,West,2021-02-01,278.702
69,West - Size Class A,2021-02-01,287.47
70,West - Size Class B/C(3),2021-02-01,162.042
71,Mountain(4),2021-02-01,108.386
72,Pacific(4),2021-02-01,108.262
73,Size classes,2021-02-01,
74,Size Class A(5),2021-02-01,242.447
75,Size Class B/C(3),2021-02-01,160.141
76,Selected local areas,2021-02-01,
77,"Chicago-Naperville-Elgin, IL-IN-WI",2021-02-01,247.387
78,"Los Angeles-Long Beach-Anaheim, CA",2021-02-01,281.347
79,"New York-Newark-Jersey City, NY-NJ-PA",2021-02-01,286.474
80,"Atlanta-Sandy Springs-Roswell, GA",2021-02-01,252.972
81,"Baltimore-Columbia-Towson, MD(6)",2021-02-01,261.917
82,"Detroit-Warren-Dearborn, MI",2021-02-01,240.57
