,Area,Date,Unadjusted CPI Index
105,New England(4),{year}-03-01,105.054
106,Middle Atlantic(4),{year}-03-01,104.307
107,Midwest,{year}-03-01,239.163
108,Midwest - Size Class A,{year}-03-01,240.436
109,Midwest - Size Class B/C(3),{year}-03-01,152.658
110,East North Central(4),{year}-03-01,103.675
111,West North Central(4),{year}-03-01,103.887
112,South,{year}-03-01,248.136
113,South - Size Class A,{year}-03-01,252.746
114,South - Size Class B/C(3),{year}-03-01,156.768
115,South Atlantic(4),{year}-03-01,104.902
116,East South Central(4),{year}-03-01,102.751
117,West South Central(4),{year}-03-01,103.057
118,West,{year}-03-01,273.995
119,West - Size Class A,{year}-03-01,282.88
120,West - Size Class B/C(3),{year}-03-01,159.129
121,Mountain(4),{year}-03-01,106.621
122,Pacific(4),{year}-03-01,106.411
123,Size classes,{year}-03-01,
124,Size Class A(5),{year}-03-01,238.467
125,Size Class B/C(3),{year}-03-01,156.862
126,Selected local areas,{year}-03-01,
127,"Chicago-Naperville-Elgin, IL-IN-WI",{year}-03-01,242.655
128,"Los Angeles-Long Beach-Anaheim, CA",{year}-03-01,276.589
129,"New York-Newark-Jersey City, NY-NJ-PA",{year}-03-01,281.975
130,"Atlanta-Sandy Springs-Roswell, GA",{year}-03-01,
131,"Baltimore-Columbia-Towson, MD(6)",{year}-03-01,
132,"Detroit-Warren-Dearborn, MI",{year}-03-01,
133,"Houston-The Woodlands-Sugar Land, TX",{year}-03-01,
134,"Miami-Fort Lauderdale-West Palm Beach, FL",{year}-03-01,
135,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",{year}-03-01,
136,"Phoenix-Mesa-Scottsdale, AZ(7)",{year}-03-01,
137,"San Francisco-Oakland-Hayward, CA",{year}-03-01,
138,"Seattle-Tacoma-Bellevue, WA",{year}-03-01,
139,"St. Louis, MO-IL",{year}-03-01,
140,Urban Alaska,{year}-03-01,
141,"Boston-Cambridge-Newton, MA-NH",{year}-03-01,285.544
142,"Dallas-Fort Worth-Arlington, TX",{year}-03-01,238.865
143,"Denver-Aurora-Lakewood, CO",{year}-03-01,270.12
144,"Minneapolis-St.Paul-Bloomington, MN-WI",{year}-03-01,251.57
145,"Riverside-San Bernardino-Ontario, CA(4)",{year}-03-01,107.162
146,"San Diego-Carlsbad, CA",{year}-03-01,302.589
147,"Tampa-St. Petersburg-Clearwater, FL(8)",{year}-03-01,231.619
148,Urban Hawaii,{year}-03-01,285.321
149,"Washington-Arlington-Alexandria, DC-VA-MD-WV(6)",{year}-03-01,265.385
150,U.S. city average,2020-04-01,256.389
151,Region and area size(2),2020-04-01,
152,Northeast,2020-04-01,271.325
153,Northeast - Size Class A,2020-04-01,275.082
154,Northeast - Size Class B/C(3),2020-04-01,159.365
155,New England(4),2020-04-01,104.728
156,Middle Atlantic(4),2020-04-01,103.794
157,Midwest,2020-04-01,236.474
158,Midwest - Size Class A,2020-04-01,237.335
159,Midwest - Size Class B/C(3),2020-04-01,151.09
160,East North Central(4),2020-04-01,102.423
161,West North Central(4),2020-04-01,102.911
162,South,2020-04-01,246.254
163,South - Size Class A,2020-04-01,251.019
164,South - Size Class B/C(3),2020-04-01,155.508
165,South Atlantic(4),2020-04-01,104.313
166,East South Central(4),2020-04-01,101.878
167,West South Central(4),2020-04-01,101.943
168,West,2020-04-01,272.913
169,West - Size Class A,2020-04-01,281.278
170,West - Size Class B/C(3),2020-04-01,158.824
171,Mountain(4),2020-04-01,106.275
172,Pacific(4),2020-04-01,105.963
173,Size classes,2020-04-01,
174,Size Class A(5),2020-04-01,236.773
175,Size Class B/C(3),2020-04-01,155.868
176,Selected local areas,2020-04-01,
177,"Chicago-Naperville-Elgin, IL-IN-WI",2020-04-01,240.364
178,"Los Angeles-Long Beach-Anaheim, CA",2020-04-01,275.853
179,"New York-Newark-Jersey City, NY-NJ-PA",2020-04-01,280.623
180,"Atlanta-Sandy Springs-Roswell, GA",2020-04-01,242.617
181,"Baltimore-Columbia-Towson, MD(6)",2020-04-01,258.978
182,"Detroit-Warren-Dearborn, MI",2020-04-01,232.107
183,"Houston-The Woodlands-Sugar Land, TX",2020-04-01,226.387
184,"Miami-Fort Lauderdale-West Palm Beach, FL",2020-04-01,269.237
185,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2020-04-01,256.353
186,"Phoenix-Mesa-Scottsdale, AZ(7)",2020-04-01,143.734
187,"San Francisco-Oakland-Hayward, CA",2020-04-01,298.074
188,"Seattle-Tacoma-Bellevue, WA",2020-04-01,280.484
189,"St. Louis, MO-IL",2020-04-01,229.592
190,Urban Alaska,2020-04-01,222.909
